Dataset,Algorithm,Run_ID,Best_Precision,N_Features,Time_s
zoo,GA,1,0.932585165099652,7,78.17289209365845
zoo,GA,2,0.9375782359200899,7,76.25414252281189
zoo,GA,3,0.9359394106113877,7,66.70880222320557
zoo,GA,4,0.9359769927809128,10,73.84100079536438
zoo,GA,5,0.9367586192490716,8,69.17059326171875
zoo,GA,6,0.935192856793822,8,85.02940106391907
zoo,GA,7,0.9355077333800604,9,65.87464547157288
zoo,GA,8,0.9349960260278203,10,73.01312494277954
zoo,GA,9,0.9363890556182018,10,72.10871815681458
zoo,GA,10,0.9366211321498918,7,62.68188285827637
zoo,GA,11,0.9352878209168117,5,54.45424270629883
zoo,GA,12,0.9378971418812844,7,62.32227373123169
zoo,GA,13,0.9364488485020513,9,65.9922103881836
zoo,GA,14,0.9331079988060865,10,69.39945554733276
zoo,GA,15,0.9360432036832661,7,69.10044574737549
zoo,GA,16,0.9352940039356392,10,59.13677000999451
zoo,GA,17,0.9363890556182018,10,72.57880926132202
zoo,GA,18,0.937489895190283,6,56.30484938621521
zoo,GA,19,0.9373201651347929,8,64.03172993659973
zoo,GA,20,0.9367789109095833,8,66.92136716842651
zoo,GA,21,0.935192856793822,8,72.77704191207886
zoo,GA,22,0.938213355151151,8,63.62819695472717
zoo,GA,23,0.9349960260278203,10,68.29736804962158
zoo,GA,24,0.9367789109095833,8,66.05559825897217
zoo,GA,25,0.9342287191616434,8,59.59686470031738
zoo,GA,26,0.9364123165144262,5,61.12106013298035
zoo,GA,27,0.9362187450652235,10,70.31260228157043
zoo,GA,28,0.9317553611588496,8,65.77675724029541
zoo,GA,29,0.9365057653803517,6,57.802523374557495
zoo,GA,30,0.9334076931673605,8,67.58054423332214
zoo,SA,1,0.9330241853545279,9,70.96708655357361
zoo,SA,2,0.9336749718130225,13,85.31763935089111
zoo,SA,3,0.9321856825100981,10,83.09665822982788
zoo,SA,4,0.9307540623865268,11,75.3705186843872
zoo,SA,5,0.9331664375690535,6,75.0446949005127
zoo,SA,6,0.9338858529513927,10,74.081209897995
zoo,SA,7,0.9304662123409938,11,69.91619491577148
zoo,SA,8,0.9376537590315233,8,60.99303603172302
zoo,SA,9,0.928370092351284,7,64.20577836036682
zoo,SA,10,0.9340567742868621,11,80.46705532073975
zoo,SA,11,0.9255970583026807,8,57.46307682991028
zoo,SA,12,0.9294872989790034,9,57.85044288635254
zoo,SA,13,0.9291768178168259,11,71.75590968132019
zoo,SA,14,0.9234345534351611,9,59.02341675758362
zoo,SA,15,0.931612220485827,10,74.42529797554016
zoo,SA,16,0.9317501031178367,7,71.66803860664368
zoo,SA,17,0.9340131905065514,6,55.2175509929657
zoo,SA,18,0.9331906077820122,7,60.200170040130615
zoo,SA,19,0.9289349563840262,10,80.39907455444336
zoo,SA,20,0.9279845370309939,14,75.37280130386353
zoo,SA,21,0.9291411754321552,8,59.65553951263428
zoo,SA,22,0.9334319427268903,10,84.81159782409668
zoo,SA,23,0.930134922702178,10,75.30894565582275
zoo,SA,24,0.9285435110561099,9,74.33565998077393
zoo,SA,25,0.9255294684351595,9,73.0426287651062
zoo,SA,26,0.9332573975932867,5,50.56443190574646
zoo,SA,27,0.924305046137956,9,69.0065507888794
zoo,SA,28,0.9310276641834233,11,76.32974076271057
zoo,SA,29,0.9305790057232438,7,62.095197677612305
zoo,SA,30,0.9313738986925059,6,61.03519082069397
zoo,Tabu,1,0.9365057653803517,6,75.44885730743408
zoo,Tabu,2,0.935321451625798,11,73.80723834037781
zoo,Tabu,3,0.9346262605971274,12,72.50295042991638
zoo,Tabu,4,0.9397397037376761,7,73.41883826255798
zoo,Tabu,5,0.9355193515502814,7,71.05515003204346
zoo,Tabu,6,0.9360432036832661,7,72.47218012809753
zoo,Tabu,7,0.9376194497375577,7,68.62316989898682
zoo,Tabu,8,0.935192856793822,8,71.27755832672119
zoo,Tabu,9,0.9347157562326387,9,74.74618434906006
zoo,Tabu,10,0.9364488485020513,9,72.12966752052307
zoo,Tabu,11,0.9351556289130323,10,75.256174325943
zoo,Tabu,12,0.9349856098103175,10,70.55852770805359
zoo,Tabu,13,0.933448845662293,9,76.27803301811218
zoo,Tabu,14,0.9367789109095833,8,73.26924014091492
zoo,Tabu,15,0.9351307309957518,6,74.33781814575195
zoo,Tabu,16,0.9344961330035744,10,75.00438165664673
zoo,Tabu,17,0.9397397037376761,7,71.5749020576477
zoo,Tabu,18,0.9352052622157184,9,72.43493008613586
zoo,Tabu,19,0.9364488485020513,9,71.44591617584229
zoo,Tabu,20,0.9363890556182018,10,77.55435180664062
zoo,Tabu,21,0.9351786106679757,8,73.89356112480164
zoo,Tabu,22,0.9364308183633596,9,74.39575839042664
zoo,Tabu,23,0.9360432036832661,7,71.70256042480469
zoo,Tabu,24,0.9365057653803517,6,69.44583940505981
zoo,Tabu,25,0.9343392472968421,9,76.07385182380676
zoo,Tabu,26,0.9340386196186842,13,75.46506857872009
zoo,Tabu,27,0.9366211321498918,7,76.32266592979431
