Dataset,Algorithm,Precision (Mean ± 95% CI),Features (Mean ± 95% CI)
,,,
breast_cancer,GA,0.9482 ± 0.0019,12.1 ± 1.3
breast_cancer,GWO,0.9560 ± 0.0023,6.8 ± 1.3
breast_cancer,PSO,0.9475 ± 0.0019,10.8 ± 1.2
breast_cancer,SA,0.9453 ± 0.0054,11.0 ± 2.0
breast_cancer,Tabu,0.9531 ± 0.0046,10.5 ± 2.0
ionosphere,GA,0.9242 ± 0.0038,16.4 ± 2.5
ionosphere,GWO,0.9378 ± 0.0034,10.7 ± 1.4
ionosphere,PSO,0.9262 ± 0.0034,15.3 ± 2.3
ionosphere,SA,0.9205 ± 0.0062,16.1 ± 2.2
ionosphere,Tabu,0.9335 ± 0.0031,14.7 ± 2.1
lymphography,GA,0.8411 ± 0.0074,16.4 ± 1.6
lymphography,GWO,0.8651 ± 0.0088,11.3 ± 2.0
lymphography,PSO,0.8472 ± 0.0063,15.8 ± 1.7
lymphography,SA,0.8356 ± 0.0130,15.3 ± 0.9
lymphography,Tabu,0.8635 ± 0.0095,13.6 ± 1.8
wine,GA,0.9652 ± 0.0023,7.3 ± 0.8
wine,GWO,0.9644 ± 0.0022,6.2 ± 0.9
wine,PSO,0.9668 ± 0.0003,8.0 ± 0.0
wine,SA,0.9633 ± 0.0038,7.0 ± 1.0
wine,Tabu,0.9628 ± 0.0033,6.6 ± 1.0
zoo,GA,0.9330 ± 0.0019,10.3 ± 1.5
zoo,GWO,0.9350 ± 0.0015,7.3 ± 1.5
zoo,PSO,0.9329 ± 0.0018,9.2 ± 1.2
zoo,SA,0.9322 ± 0.0017,9.8 ± 0.8
zoo,Tabu,0.9338 ± 0.0011,10.5 ± 1.7
